iter	Accuracy	MultiClass
0	0.64	1.090003674
1	0.75	1.079972139
2	0.81	1.070432954
3	0.89	1.061235108
4	0.92	1.051787458
5	0.93	1.044494266
6	0.94	1.036501036
7	0.94	1.026435861
8	0.96	1.019619386
9	0.96	1.011155834
10	0.96	1.00278658
11	0.96	0.9953718659
12	0.98	0.9855867708
13	0.99	0.9779226727
14	1	0.9699873078
15	0.99	0.9627011948
16	0.99	0.9526862051
17	0.99	0.9449205499
18	1	0.9394007024
19	1	0.9330971579
20	1	0.9281567727
21	1	0.9207170717
22	1	0.9146440058
23	1	0.9076995534
24	1	0.9012928644
25	1	0.8960827565
26	1	0.8902032627
27	1	0.8834942988
28	1	0.8753552049
29	1	0.867531671
30	1	0.8613640093
31	1	0.8542414118
32	1	0.8483267116
33	1	0.842280027
34	1	0.8357630653
35	1	0.8283854066
36	1	0.823268789
37	1	0.8190565285
38	1	0.8152367525
39	1	0.8096981147
40	1	0.8044105069
41	1	0.7984509423
42	1	0.792814384
43	1	0.7871002651
44	1	0.7803502023
45	1	0.7768392803
46	1	0.7713878171
47	1	0.7661252587
48	1	0.7615008637
49	1	0.757030816
50	1	0.7527507454
51	1	0.7474872754
52	1	0.741869468
53	1	0.7361104621
54	1	0.7309967959
55	1	0.7254851619
56	1	0.7203936924
57	1	0.7155898097
58	1	0.7108296253
59	1	0.7062985634
60	1	0.7018984209
61	1	0.697949008
62	1	0.6924699409
63	1	0.686743593
64	1	0.6830634763
65	1	0.6788016617
66	1	0.6745160711
67	1	0.6698749903
68	1	0.6667871338
69	1	0.6625404241
70	1	0.6576314715
71	1	0.6538119126
72	1	0.6494432169
73	1	0.6438492623
74	1	0.6381833381
75	1	0.6349281161
76	1	0.6308867204
77	1	0.6269277137
78	1	0.6222142727
79	1	0.6187332266
80	1	0.6149845135
81	1	0.6118717783
82	1	0.6080594639
83	1	0.6025827352
84	1	0.5974221318
85	1	0.5920644047
86	1	0.5883202281
87	1	0.5837629219
88	1	0.5807338206
89	1	0.5759577534
90	1	0.5711740954
91	1	0.5668950129
92	1	0.5628352453
93	1	0.5593915226
94	1	0.5550737343
95	1	0.551172503
96	1	0.5467017925
97	1	0.5420852736
98	1	0.539563599
99	1	0.5361779627
100	1	0.5326137105
101	1	0.52851992
102	1	0.5246041731
103	1	0.5220582576
104	1	0.5188908631
105	1	0.5150537098
106	1	0.5120930604
107	1	0.5085327636
108	1	0.5044777241
109	1	0.5009620302
110	1	0.4971027888
111	1	0.493728156
112	1	0.490020173
113	1	0.4871979934
114	1	0.4842593591
115	1	0.4813720325
116	1	0.4780883079
117	1	0.4744748324
118	1	0.4712424542
119	1	0.4671338263
120	1	0.4640015398
121	1	0.4598062514
122	1	0.4567698976
123	1	0.4537162163
124	1	0.4505498794
125	1	0.4466499636
126	1	0.443908248
127	1	0.4408608637
128	1	0.4378077272
129	1	0.4344949258
130	1	0.4313897106
131	1	0.4284244177
132	1	0.4255717112
133	1	0.4223117269
134	1	0.4200882536
135	1	0.4164761823
136	1	0.4131730148
137	1	0.4096342495
138	1	0.4061448815
139	1	0.4031690929
140	1	0.4005050064
141	1	0.3980339778
142	1	0.395266159
143	1	0.3925873622
144	1	0.3902395023
145	1	0.3877449684
146	1	0.3850997539
147	1	0.3826000015
148	1	0.3797044247
149	1	0.3773072601
150	1	0.3750089191
151	1	0.372490814
152	1	0.3699482484
153	1	0.3673951425
154	1	0.3647139797
155	1	0.3628891652
156	1	0.3605503777
157	1	0.3581666402
158	1	0.3560123046
159	1	0.3538948535
160	1	0.3514812708
161	1	0.3489314841
162	1	0.3465320941
163	1	0.3440954605
164	1	0.3420096209
165	1	0.3398701244
166	1	0.3376976133
167	1	0.3350088667
168	1	0.3329493615
169	1	0.3299397937
170	1	0.3280262666
171	1	0.3256159738
172	1	0.3237864969
173	1	0.3217406829
174	1	0.3195906619
175	1	0.3170626882
176	1	0.3150169277
177	1	0.3132258934
178	1	0.3113389113
179	1	0.3092448965
180	1	0.3077853974
181	1	0.3064720789
182	1	0.3049249164
183	1	0.3034205386
184	1	0.3014354954
185	1	0.2997639235
186	1	0.2975232198
187	1	0.2956579073
188	1	0.2937900777
189	1	0.2922694467
190	1	0.2903275307
191	1	0.2885924491
192	1	0.2867308801
193	1	0.2851239066
194	1	0.2834359673
195	1	0.2819700348
196	1	0.2802274907
197	1	0.2788755725
198	1	0.2772447182
199	1	0.276103584
200	1	0.2743244623
201	1	0.2728039818
202	1	0.2712497447
203	1	0.2697199905
204	1	0.2680338937
205	1	0.2661827488
206	1	0.2648590421
207	1	0.2633755141
208	1	0.2619006582
209	1	0.26035208
210	1	0.2586712416
211	1	0.2570745486
212	1	0.2559628837
213	1	0.2548086531
214	1	0.2532030239
215	1	0.2519143602
216	1	0.2505743738
217	1	0.2491151619
218	1	0.2475298001
219	1	0.2463378431
220	1	0.244990935
221	1	0.2434876394
222	1	0.2420389554
223	1	0.2408848931
224	1	0.2395781581
225	1	0.2383204494
226	1	0.2369667226
227	1	0.2360221855
228	1	0.2348409781
229	1	0.2333952973
230	1	0.2319665763
231	1	0.2307974941
232	1	0.2298528362
233	1	0.2285689335
234	1	0.2273770646
235	1	0.2261988238
236	1	0.2250303492
237	1	0.2238353272
238	1	0.2226109514
239	1	0.2216764331
240	1	0.2205962958
241	1	0.2192485052
242	1	0.2181006995
243	1	0.2168145385
244	1	0.2157376446
245	1	0.2146566755
246	1	0.2136633547
247	1	0.2126946806
248	1	0.211649276
249	1	0.2105889702
250	1	0.2095734527
251	1	0.2085751963
252	1	0.2074776613
253	1	0.2063234749
254	1	0.205289942
255	1	0.2043769962
256	1	0.2035143543
257	1	0.2026448209
258	1	0.2017904972
259	1	0.200746924
260	1	0.1997276256
261	1	0.1988553294
262	1	0.1979421526
263	1	0.1972285106
264	1	0.1962231899
265	1	0.1953892016
266	1	0.1944512695
267	1	0.1933641201
268	1	0.1925874575
269	1	0.1914560767
270	1	0.1904642076
271	1	0.1896067447
272	1	0.1886743205
273	1	0.1877646254
274	1	0.1867463649
275	1	0.1858528352
276	1	0.1851418351
277	1	0.1841935351
278	1	0.1830993012
279	1	0.1824445987
280	1	0.1816155212
281	1	0.180839374
282	1	0.1801752787
283	1	0.1793176745
284	1	0.1785141924
285	1	0.1775567163
286	1	0.1767853845
287	1	0.1762716941
288	1	0.175579645
289	1	0.174587034
290	1	0.1737214985
291	1	0.1728405643
292	1	0.1720512042
293	1	0.1714511106
294	1	0.1707269455
295	1	0.1700375484
296	1	0.1691972842
297	1	0.1684363084
298	1	0.1677722327
299	1	0.1671930938
